hebrew,english_hint,skill,skill_url,transliteration_key,lexeme_id,related_lexemes
דירה,,Home Sweet Home,Home,dyrh,479116182eec440fd74c96cb27f01e4a,
האמבטיה,,Home Sweet Home,Home,hmbtyh,e5aec5f8daae94e27f9a3b77d6ee5913,
המראה,,Home Sweet Home,Home,hmrh,8b88c1d309979a40b86bf3232e7cdaa3,
ואחת,,Home Sweet Home,Home,vkht,ea741f1d1cc34a1217a2c5649576fd2c,
מכונות כביסה,,Home Sweet Home,Home,mkvnvt kbysh,dcc608fbe5b865d2b94fcb8ada8efd3d,c909d80ae926ceb9cb8dcae7c872f30f
הדירה,the apartment / the flat,Home Sweet Home,Home,hdyrh,8d1e464f03b9d5723bb16932e9579889,
כלי עבודה,,Home Sweet Home,Home,kly `bvdh,3ab73b5d2ff942c2e79cc7f61af71abc,
הרצפה,,Home Sweet Home,Home,hrtsph,ec7129f74ab20cbf1b0a92fdea71208f,
המעלית,,Home Sweet Home,Home,hm`lyt,c5fba5703a89f8b3a0aa22c5d425b59a,
למראה,,Home Sweet Home,Home,lmrh,e535452f18e3f3239ebfd7c42abb5f31,
נגדךְ,,Prepositions 1,Prepositions-1,ngdk@,0d123ae0662a6af18c7b569821bb5fc9,
בתוככן,,Prepositions 1,Prepositions-1,btvkkn,df50f8c3f3911b81d4e9c0888897f723,
נגדךָ,,Prepositions 1,Prepositions-1,ngdka,4f05d90b1a99ed294774dd9a7f77e635,
נגמרת,,Nif'al Construction,Nifal-Construction,ngmrt,095280afcc46247553049701260ae827,
נגמרים,,Nif'al Construction,Nifal-Construction,ngmrym,56052d6f72ff225f7153f2483ca5b18e,
נגמר,ended / finished / over,Nif'al Construction,Nifal-Construction,ngmr,6a08f00e608fc6c72150a45c921dbb9d,ba1c0a618c388b4a567cfde246f02b54
נכתבים,,Nif'al Construction,Nifal-Construction,nktbym,da09e06174d3b9672eeab39545b80a49,
על ידי,,Nif'al Construction,Nifal-Construction,`l ydy,de7cd46c43ca7fac7259d83ed057fcdd,
נשרף,,Nif'al Construction,Nifal-Construction,nshrp,d44e15a86302bc54e78f86b9eb62d360,
נגרמת,,Nif'al Construction,Nifal-Construction,ngrmt,1aa222ca5aa1ab2cffd21248371034e8,
נראית,,Nif'al Construction,Nifal-Construction,nryt,a6db586c2dbcacf3c8d56a9ef7181205,
נפתחות,open,Nif'al Construction,Nifal-Construction,nptkhvt,22e4f1ab54896839444d0593c60bc762,
נגרמות,,Nif'al Construction,Nifal-Construction,ngrmvt,4a33542085c6e845ae6a844659163882,
נכתב,,Nif'al Construction,Nifal-Construction,nktb,06941f3f2b543472284070a5047361ed,72e94e5ed2e7d3ae4116e5386c23507e
נאבדת,,Nif'al Construction,Nifal-Construction,nbdt,c4159d6e57bd238cda9f3074966b6249,
נאבדים,,Nif'al Construction,Nifal-Construction,nbdym,befac84521a284bb10c4a4e7710c84f8,
אחרי,after / after I,Prepositions 2,Prepositions-2,khry,52f45c7c9794cf13efcfcd56dafe6a8a,
אלינו,,Prepositions 2,Prepositions-2,lynv,81988da303e53de52a8bc389e69534ee,af365dee04bc0dda0d24bcc4d671371a
אליהן,,Prepositions 2,Prepositions-2,lyhn,0174457403a706244003edebb95af97e,
אליהם,,Prepositions 2,Prepositions-2,lyhm,25bdd05bb608c1a143a4ddaa2857116a,
בין,among / between / between...and...,Prepositions 2,Prepositions-2,byn,1386f12526e4a3932458c70ed3f21a6d,
עלינו,,Prepositions 2,Prepositions-2,`lynv,e69dc2c73ad32729028ee5d64a3bbdc1,
בפנים,,Prepositions 2,Prepositions-2,bpnym,3e9fd9e13f01a4dc72909271b8fadb57,
אלייך,,Prepositions 2,Prepositions-2,lyyk,32f302582bb08ee022ca46e4f9050b43,
עליהם,,Prepositions 2,Prepositions-2,`lyhm,c77d20fedc7c8d3b7c3a1b6f621ef017,
עליו,,Prepositions 2,Prepositions-2,`lyv,435d4847da57b1713730ac4b5881c76c,6c053dbb88800c42a00b465182352d36
חכי,,Imperative 1,Imperative-1,khky,1dbf238be9c5eae5219d856f292c0b62,
צלמי,,Imperative 1,Imperative-1,tslmy,39f3ad8a7dce32c5a8cfb13552a2523e,
קנה,,Imperative 1,Imperative-1,qnh,ccf26f116b38f909f24f9379e816fcfb,
נסו,,Imperative 1,Imperative-1,nsv,cc55e40c944f2ebc7a8b63e7330e72cc,
רוץ,,Imperative 1,Imperative-1,rvts,a27ad7fb4eb558db8754c59e2ed8579c,
השתמש,,Imperative 1,Imperative-1,hshtmsh,b65c474563f78ce17596e5647627c259,
השתמשו,,Imperative 1,Imperative-1,hshtmshv,242beb88f70dca308f61f85e47cf45ec,
צלמו,,Imperative 1,Imperative-1,tslmv,0526a5add06066c9e7305d1d4ec7fb6b,
קני,,Imperative 1,Imperative-1,qny,72e729099990fb94af870952834fd5a4,
התקרבו,,Imperative 1,Imperative-1,htqrbv,2e26935aca200cf05d247a3778ffded2,
התקרב,,Imperative 1,Imperative-1,htqrb,f18c1e7da35bb474251bb088a98fad07,
רוצו,,Imperative 1,Imperative-1,rvtsv,a1f27a12470139cc9ab262b2360eb640,
כוח,,Abstract Objects 2,Abstract-Objects-2,kvkh,09f3cfd6f71e686af1120ab08085cfe5,
גישה,,Abstract Objects 2,Abstract-Objects-2,gyshh,c647ecd14029367b4ad4e920f16b993a,
העמדה,,Abstract Objects 2,Abstract-Objects-2,h`mdh,e06327a7b0d7903ff61d7c564f15fd8a,
הכוחות,,Abstract Objects 2,Abstract-Objects-2,hkvkhvt,67928ae5005a3ac187ad1c2390170b91,
עמדות,,Abstract Objects 2,Abstract-Objects-2,`mdvt,3abf06efa3b436a2e11ed1f400f93629,
הנאה,,Abstract Objects 2,Abstract-Objects-2,hnh,311078c80aa13cd5f3f5a0a29cf8c8bc,
מסורת,,Abstract Objects 2,Abstract-Objects-2,msvrt,cb8fa6f7ea387b8b6e58ee0b6ca7f785,
שקרים,,Abstract Objects 2,Abstract-Objects-2,shqrym,85d745b9fef0e4be0583aea5c0e87bdf,
הגישה,,Abstract Objects 2,Abstract-Objects-2,hgyshh,88f98bebe61d9667ef6ad3724fbf54e9,
רשות,,Abstract Objects 2,Abstract-Objects-2,rshvt,980c55cb97cbed68c97ea505947f4c86,
ההתנהגות,,Abstract Objects 2,Abstract-Objects-2,hhtnhgvt,e70beb778c0765d4b05c557e556fc51e,
בעמדה,,Abstract Objects 2,Abstract-Objects-2,b`mdh,0fcb80d82f068c59618f6e33a3e51ee0,
מכון כושר,,Sports,Sports,mkvn kvshr,3cbd94db0806c0ae337cc577fb1633ef,
למכון הכושר,,Sports,Sports,lmkvn hkvshr,8a776fbdea3e192e8c2f1ef39f9e6b6f,
מרתון,marathon,Sports,Sports,mrtvn,0f5f689fff456eed9e4626e963505e3b,
טניס,,Sports,Sports,tnys,810e52e31d24e8d0c622ce77062b6f06,
במרתון,,Sports,Sports,bmrtvn,b357e37613f45ff522400011ca31d5b7,
בלמית,,Sports,Sports,blmyt,d51b78c8400a1b08f798def2fa21dda8,
כושר,exercise / fitness / gym,Sports,Sports,kvshr,86ce9931d69b51e03534b29d9bd6c229,
הבלם,,Sports,Sports,hblm,a698515acaf76739eba22ab0fcf95898,
הטניס,,Sports,Sports,htnys,1d98790fd968fe04796849b945bcae88,
המדליות,,Sports,Sports,hmdlyvt,a8e2d7401da9cc272f14e725847e2785,
בטניס,,Sports,Sports,btnys,4f9e79daa5d6bc6bb7da2f97cfca35a3,
גביע,,Sports,Sports,gby`,26059798ccafc084c68b60b7b2482332,
הראשון,first / the first,Numbers 2,Numbers-2,hrshvn,3f518e4bae19f4ddca5a6f1ad69820ff,
חמש,five (fem.),Numbers 2,Numbers-2,khmsh,2046aca176ae2620c7bc5062645e0d47,
לחמש,,Numbers 2,Numbers-2,lkhmsh,afe22973d2ec9edaf63daf6bfd8cff6d,
האחרון,,Numbers 2,Numbers-2,hkhrvn,6949e31cd0c79769f0a69fe520f8068b,
דומָה,is similar / similar,Comparison,Comparison,dvmah,297c70e8d4e4fd474aad3b6dd6cb778b,
ראשון,Sunday / first,Numbers 2,Numbers-2,rshvn,32680d43c9876f5e26ff03e5b0e7928f,
דומים,,Comparison,Comparison,dvmym,032ae96d63635cf95e223d566d9d7642,
שתי,both / both of / two (fem.),Numbers 1,Numbers-1,shty,049d08af97fbc80efbeb4b4887297823,
שתיים,,Numbers 1,Numbers-1,shtyym,cf6f8e05ad3b83b33e2b68ee4d68b11a,
שמונֶה,,Numbers 1,Numbers-1,shmvneh,98ac7d12407d62075974502c3c94c110,
שמונה עשר,,Numbers 1,Numbers-1,shmvnh `shr,833f42d0c7e30270625d4e2f236fea54,
שש,six (fem.),Numbers 1,Numbers-1,shsh,8b0f333c7c11c6e2a9cd00ca3296b8df,
שני,Monday / both / both of / second / two (masc.),Numbers 1,Numbers-1,shny,1c7b4963bd5970e80a7199bfffef9e56,
תשע,,Numbers 1,Numbers-1,tsh`,dc5d14eed52a544d8fa1340db705905a,
משניים,,Numbers 1,Numbers-1,mshnyym,a3ea2075d681836ce41ea2a20c47b875,
גן חיות,,Places,Places,gn khyvt,4abf658193cea15dff39d3ff03523b69,
חופים,,Places,Places,khvpym,51db4ae3c5d1192c14c36f438d97e103,
במשרד,,Places,Places,bmshrd,943bb1a3744c5accdf4b4274d20ff7c1,
מקומות,,Places,Places,mqvmvt,66f8a27b51deea806d2753201e4c2861,
בפארק,,Places,Places,bprq,e492217d2fa7b15ac65d57e01a8a05ee,
החוף,the beach / the coast,Places,Places,hkhvp,935ab179c29bbd1c6e5319e1935ba5f8,
לגני חיות,,Places,Places,lgny khyvt,c5fe9b769a9a2ef5c7dbf0ab8b323305,
במסלול,,Places,Places,bmslvl,3ff8808f1ac7c65a0550a2e956ccb925,f06c1cc190f27d63d9f1e3cd518d7e03
לתוך,,Places,Places,ltvk,916f00bb0a85b1d6b19c93990f3e0d85,
בחוף,,Places,Places,bkhvp,7d184a6eaa719dc1f8de15048b822ae3,
מקום,,Places,Places,mqvm,a69672851bb419832c4e5e7c27ebb83c,
חווה,,Places,Places,khvvh,a5ea7a3131ce4c7cf773ee223273c864,
מסלול,,Places,Places,mslvl,39eeae38190bd0ad05025d16d68e78a4,
חוות,,Places,Places,khvvt,54a76bda605a7997ad6506ff45d51475,
קפה,coffee,Food 1,Food-1,qph,a0a53bacac073bc58f2cddb3cbcdd2f3,
מרק,,Food 1,Food-1,mrq,f16aa1eb8b5ccf0f3741458b928c1780,
הדג,,Food 1,Food-1,hdg,067aac5dfa1826d36391b15de29a98ab,
פטרייה,,Food 1,Food-1,ptryyh,e347c025c1d046308313e46d13168d89,
הפיצה,,Food 1,Food-1,hpytsh,0cc8d357deb93eb55e0661b595fcf057,
הסלט,,Food 1,Food-1,hslt,e11bf3874f64ea7d63a1cc59e4380286,
רוצים,do you want / want,Food 1,Food-1,rvtsym,cb9b177e9868f15f0314a53475c922ce,
פיצה,,Food 1,Food-1,pytsh,d62f358513428390a73a6e26437c04ec,
סלט,,Food 1,Food-1,slt,ae6e38f247cf8a2bc358b0241aa5cca5,
המרק,,Food 1,Food-1,hmrq,d0c41a54cdeefee3c834f1a377079c80,
הבקר,,Food 1,Food-1,hbqr,11c11c44ed321014b1b9abc40ab008a8,
בית ספר,,Construct State 1,Construct-state-1,byt spr,42a3ef44446544bc1089a40ad4380c3f,
בקבוק היין,,Construct State 1,Construct-state-1,bqbvq hyyn,6fa7bdb31e40e3de6f4ff4bb4bed5a9e,
חדרי שינה,,Construct State 1,Construct-state-1,khdry shynh,a348e3c974454408ce1fed08b9930a65,
מבקבוק המים,,Construct State 1,Construct-state-1,mbqbvq hmym,6d199aafad71a6d2664f1f492476fac5,
מכונות הכביסה,,Construct State 1,Construct-state-1,mkvnvt hkbysh,88674fa5167fe807b378c451686de0d5,
בקבוקי מים,,Construct State 1,Construct-state-1,bqbvqy mym,fa800bb99eb91c561c98728596aa5a85,
ושני,,Construct State 1,Construct-state-1,vshny,4f426ca3a2f815af2f59059a909e13d5,
לאבא,,Construct State 1,Construct-state-1,lb,77e066792d5d594aedffa8ad4ec88128,
חדר האוכל,,Construct State 1,Construct-state-1,khdr hvkl,1f9a10c9f5d5d530d656a7f2c20d8f8b,
בקבוק מים,,Construct State 1,Construct-state-1,bqbvq mym,d312c363149bc1edba36e02f1ef9083d,
ושלה,,Construct State 1,Construct-state-1,vshlh,d13bbb93ec5d021abcce85d495aafe9c,
חדרי השינה,,Construct State 1,Construct-state-1,khdry hshynh,37f883e9c872f96d4440cd547d87ecca,
ארוחות צהריים,,Construct State 1,Construct-state-1,rvkhvt tshryym,3ac70abb634a9c65a684ba8eb692e55a,
אף אחד,,Determiners,Determiners,p khd,9d38f8059f37a93e84d567f312bcef01,
ייפגעו,,Future Nif'al,Verbs:-Future-Nifal,yypg`v,9d366a6e314e655c64b7b6cfd2147b4b,
שתיפגע,,Future Nif'al,Verbs:-Future-Nifal,shtypg`,de665d1c000dcaa783e68ca054720d17,
ארָאה,,Future Nif'al,Verbs:-Future-Nifal,rah,19df8bfa0a49f5597af0f0cf3f057351,
אהנה,(I) will enjoy,Future Nif'al,Verbs:-Future-Nifal,hnh,8106498ce0d4839612be2a9b67dda5d5,
ניפגש,we will meet,Future Nif'al,Verbs:-Future-Nifal,nypgsh,2db00e10b444e7496028de8401af95bb,
תישלח,,Future Nif'al,Verbs:-Future-Nifal,tyshlkh,f1f650de0e012dd58fc558f0a9f58298,
תיגמר,,Future Nif'al,Verbs:-Future-Nifal,tygmr,2329f520a612f83d2aca2d8290594491,
יישלח,will be sent,Future Nif'al,Verbs:-Future-Nifal,yyshlkh,3a006862805303841bb8558c36cc3561,
ייגמר,,Future Nif'al,Verbs:-Future-Nifal,yygmr,749513e92a83e36519fd12c2c09f5e5d,
ייפרדו,,Future Nif'al,Verbs:-Future-Nifal,yyprdv,8794245baa3f4918eb10c5c2d4dccbdf,
ניכנס,,Future Nif'al,Verbs:-Future-Nifal,nykns,a3380400ee11c4868e5b5f557deeaf67,
ריצה,,Verbal Nouns,Nouns:-VerbalNouns,rytsh,a1916963b0a398934775a0d6e5abc7aa,
הקריאה,,Verbal Nouns,Nouns:-VerbalNouns,hqryh,da1fc4d6292919ab6d60131bfb50e344,
הפתיחה,,Verbal Nouns,Nouns:-VerbalNouns,hptykhh,b10611ca24303117e34a3b8c37a2bf01,
פתיחה,,Verbal Nouns,Nouns:-VerbalNouns,ptykhh,9bcc524c746a0657ea7fd4d8d60dd158,
לריצה,,Verbal Nouns,Nouns:-VerbalNouns,lrytsh,79e688d7ac8307c33002b8af521acefa,
שמיעה,,Verbal Nouns,Nouns:-VerbalNouns,shmy`h,de01dfb81b8c54147478b6fec68194d2,
למכירה,,Verbal Nouns,Nouns:-VerbalNouns,lmkyrh,3a54b68d28c2c7f50147e5a209d4c62d,
ההזמנה,,Verbal Nouns,Nouns:-VerbalNouns,hhzmnh,5d6a3b32481f69e451d9306d6591ea85,
הבישול,,Verbal Nouns,Nouns:-VerbalNouns,hbyshvl,6e647d6f37ae8929304d034086b22129,
המכירה,,Verbal Nouns,Nouns:-VerbalNouns,hmkyrh,0707e38f2805e935b89ad11c0c994911,
הליכה,,Verbal Nouns,Nouns:-VerbalNouns,hlykh,871510e6b159a1a097920d2c9ec13900,
קריאה,,Verbal Nouns,Nouns:-VerbalNouns,qryh,2f03a85d4f8bdc9a686d630d704d84e3,
בישול,cooking,Verbal Nouns,Nouns:-VerbalNouns,byshvl,2d753e38dba99a9863ab852ee0c38045,
השמיעה,,Verbal Nouns,Nouns:-VerbalNouns,hshmy`h,58eb613c40df7ae2dcc24661771468a3,
הזמנה,invitation,Verbal Nouns,Nouns:-VerbalNouns,hzmnh,47a3a346988f4bc5b64c83fb446cdedb,
לאברהם,,Possessives 1,Possessives-1,lbrhm,040a185b517fa355b23f61a1262d15b0,
אברהם,Abraham / Abraham's / Avraham / Avraham's,Possessives 1,Possessives-1,brhm,eff6832b5a36974dd1d7528e1f17ace3,
פשע,,Politics,Politics,psh`,b97b32d2a53873ffa40c6c37aef4f929,
קמפיין,,Politics,Politics,qmpyyn,ebba46e4a358b4a4817881af1dea36c2,
הנשיא,the president,Politics,Politics,hnshy,5f82e34b0ded9a861039cf35fc69066c,
ראש עיר,,Politics,Politics,rsh `yr,25a67d84a0578a629f7da093fa29ec7c,
בתאונה,,Emergency!,Emergency!,btvnh,e0ec5155b247d96dddf5094192c7bc2e,
מתעלף,,Emergency!,Emergency!,mt`lp,6c009322ce1d9771f145dc31f5f62e76,
נפלתי,,Emergency!,Emergency!,nplty,56addd0592f336fa98959156edd06d31,
הכרה,,Emergency!,Emergency!,hkrh,b25f1882c713ece1eb1c885d8f195974,
נופלת,,Emergency!,Emergency!,nvplt,5c4fa2474322ad08fff76d310a1d9790,
השריפה,,Emergency!,Emergency!,hshryph,fb759fc11dce199961d7cb40a9464f82,
במגן דוד אדום,,Emergency!,Emergency!,bmgn dvd dvm,bb6443777724be7a8a35170e18cbab19,
מסוכנים,,Emergency!,Emergency!,msvknym,9ad33d516ab11ee022c7d1df4102218b,
למגן דוד אדום,,Emergency!,Emergency!,lmgn dvd dvm,dee18d5180dcef19fcc5f5fc1f83257f,
מסוכן,,Emergency!,Emergency!,msvkn,82d602126ff43fa7f9e9fe28e45b440f,
מגן דוד אדום,,Emergency!,Emergency!,mgn dvd dvm,dde4a5b2fa5a3e55076f9557507dcd51,
הצילו,,Emergency!,Emergency!,htsylv,2656e7ab6c4a785e9b54ee58b76d028a,
מהי,,Formal,Formal,mhy,18dbce034911f2b10fe382c36a8e88c0,
גברתי,ma'am / madam,Formal,Formal,gbrty,7cb2d3792beb5b4eb5557c3c1a75a5e3,
איננה,,Formal,Formal,ynnh,5630121fb21c732cd9e5b518381f4b22,
אדוני,sir,Formal,Formal,dvny,9eb7a1aa77c374b8b6e715fb7737c36e,
ולאן,,Formal,Formal,vln,c1bc394d71a929aac917a903a3a66863,
אינם,,Formal,Formal,ynm,17c0521d22314c949812fef20e5836c0,
השואלים,,Formal,Formal,hshvlym,5157affdbe07fe8d7e15953fdc1e6d4c,
ועתה,,Formal,Formal,v`th,f01d7c1be89550193d13dca4427a7e93,
המגיע,,Formal,Formal,hmgy`,543631ba440fe24d74ef7bc89b1e0b5f,
האוכל,the food,Formal,Formal,hvkl,01e99d0a73002c052b1bc7b2ba698f2a,f2052d4a7856bcb86c2c02fa13c84efc
אנא,please (formal),Formal,Formal,n,d92ae6670d0f489813b349bde18be922,
אינו,,Formal,Formal,ynv,dc820a04fa4b1e9b8ef2d6dbc7d78eca,
מאין,from where,Formal,Formal,myn,2ea151d738b01e12c5ec039bd9cbe307,
משתמשת,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mshtmsht,3dd4ba71e9d6e5f87b27d8f4fbde0dc6,
מסתכלים,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mstklym,b8ea790d25982721f778293db6b5761a,
מסתכל,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mstkl,df688d960dd27dc5427316c9c5fe48b0,
מסתפרת,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mstprt,d3d4473791aa8cf3bd90745391799c3d,
מתקשר,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mtqshr,ca39d459d196d9c25adc4df12528ea97,
מזדקן,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mzdqn,068a082d5134c79a357e854a09621016,
מתקשרים,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mtqshrym,dffb9d60486403e3132414e02836224d,
מתחננים,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mtkhnnym,bf435d83abee8b99fc4f6f920b4a27fc,
להתעמל,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,lht`ml,c76e15b1db1214434f43292f5d0c6b47,
מסתפרות,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mstprvt,7890d30eb3543392504bf0c261aa79a6,
מתכוננים,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mtkvnnym,55708de4ad2aefd2e60cc9bc47ef49ae,
מתכונן,,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mtkvnn,9969d872f69d3ca832db75598085989a,
מזדקנות,are getting old / get old,Verbs: Present Reflexive - Hitpa'el,Verbs:-Present-Reflexive---Hitpa'el,mzdqnvt,afca48dc0027c176351c3ef88de47c2a,
בת,daughter / the cousin / the female cousin / years old (sg. fem.),Family,Family,bt,7cbede43337c8375780987dcbf63e78e,a04bebfbb1aa8030801842825e4eed44
בן זוגו,,Family,Family,bn zvgv,5f8451c0393c5951bbc248f465cf13a5,
בת זוגי,,Family,Family,bt zvgy,c273ae6632f0c88032fa60020046e674,
משפחה,,Family,Family,mshpkhh,5d161839c150ac761c24ad1a7ede96b9,
שם משפחה,,Family,Family,shm mshpkhh,33cb618be29f78aa7654c6349be09762,
החתן,,Family,Family,hkhtn,1fab7a0f22d40d7130f1d7e4279ab3e7,
הבת,,Family,Family,hbt,2e68e0038b3ac282512b68a990be54c8,
וסבתות,,Family,Family,vsbtvt,317ea9d8776dc03bfa235c156b445f2d,
שם המשפחה,,Family,Family,shm hmshpkhh,52f9c38a029d4fcb7e0be21e272cc8e9,
וסבתא,,Family,Family,vsbt,f7dcf84993c9fc50ce3b4cdb8f922bb4,
ויפים,,Family,Family,vypym,19a6d0ab1e2ad6b445d50d907104df15,
המשפחה,the family,Family,Family,hmshpkhh,478bd5b314ba12c03ba48c75aeae69a4,
הבן,the boy / the child / the son,Family,Family,hbn,27cf887794c9f44cd6c6ef2fd6fa8d51,
הסבתא,,Family,Family,hsbt,f08ddd35f65770b54925829813ab23cf,
בת זוגו,,Family,Family,bt zvgv,b7d11e4a7a36d30d8dcde119cd291358,
הספרים,the books / the books are,Plurals,Plurals,hsprym,c864904b8455a01a08fc0cca64fc1b2e,
יפים,beautiful (pl. masc.) / handsome / nice,Introduction to adjectives,Introduction-to-adjectives,ypym,f11e58f830fc50d2a80c4d75d2d53669,
האריות,,Plurals,Plurals,hryvt,c4e81c218cf48da9fe6a798b4075adc1,
אריות,,Plurals,Plurals,ryvt,4ba769c302755ccf50e834c6a657abb7,
ברווזות,,Plurals,Plurals,brvvzvt,19bc7f386ff9357a73ac4271334bf02e,
חיות מחמד,,Plurals,Plurals,khyvt mkhmd,035ddd8552eb4d7eda7e535c61c018c0,
סוסים,horses,Plurals,Plurals,svsym,400b8b508da9181aba4e970057d80af7,
החתולות,,Plurals,Plurals,hkhtvlvt,e2a16e4a883ec1434a83fb50938b4702,
כלבות,,Plurals,Plurals,klbvt,b1c9a27da17213fd01233355be8b9d0b,
ספרים,books,Plurals,Plurals,sprym,91e6384c17a67c685434c01530edb478,
חתולות,,Plurals,Plurals,khtvlvt,35fa3c4011af93f0dacfc0bbbbc560b3,
עצמכן,,Pronouns: Reflexive,Pronouns-reflexive,`tsmkn,b197110a0de5fbfa21184214d0400c5b,
מעצמךְ,,Pronouns: Reflexive,Pronouns-reflexive,m`tsmk@,520a951a9e45f706d98a759a6429fe3d,
עצמךְ,,Pronouns: Reflexive,Pronouns-reflexive,`tsmk@,2bba2237ff2687c3775f78d223ab9909,
בעצמכן,,Pronouns: Reflexive,Pronouns-reflexive,b`tsmkn,9bf73e3bca038abce07465f8a8416800,
עצמה,herself / itself,Pronouns: Reflexive,Pronouns-reflexive,`tsmh,3315735f2bf744c0d0c41919af95e3dd,
מעצמי,,Pronouns: Reflexive,Pronouns-reflexive,m`tsmy,0a66ad3605b72e300aa142078845695a,
עצמנו,,Pronouns: Reflexive,Pronouns-reflexive,`tsmnv,aac75d2582ab2d1f67d63eb137b3b724,
עצמו,,Pronouns: Reflexive,Pronouns-reflexive,`tsmv,c877617af0ded39a5cb80c63249cc2f7,
עצמכם,yourself / yourselves,Pronouns: Reflexive,Pronouns-reflexive,`tsmkm,5a2c5fdf6b98854079d96f33f63be938,
אחר,different / else / other,Determiners,Determiners,khr,3180f0119f87a2fc35614dfc748d6629,
ההגנה,,Abstract Objects 1,Abstract-Objects-1,hhgnh,ff2ea6e77204a2821b8c7e7d3f9da1ea,
מהקבוצה,,Abstract Objects 1,Abstract-Objects-1,mhqbvtsh,f8bba98337ee94911369e0195b39d377,
נושא,,Abstract Objects 1,Abstract-Objects-1,nvsh,54069c637c06d6af1d3321eafdee1c20,
ההצלחה,,Abstract Objects 1,Abstract-Objects-1,hhtslkhh,8ab63ce0d647ce2390c0e155e86fd2b4,
מצב,,Abstract Objects 1,Abstract-Objects-1,mtsb,5c549edcee7aaca49ac67ff942f50fb4,
תור,,Abstract Objects 1,Abstract-Objects-1,tvr,7e3c60c5615bbb590e16b8dfa781a1ae,
מנוחה,,Abstract Objects 1,Abstract-Objects-1,mnvkhh,884f7bf9bbae3a517bfe01763373a721,
הפעילות,,Abstract Objects 1,Abstract-Objects-1,hp`ylvt,133fdc6f65f9ad8b75ed0f9600c4bc29,
הגנה,,Abstract Objects 1,Abstract-Objects-1,hgnh,b91828dc621ef96541ee54188488221d,
קבוצה,,Abstract Objects 1,Abstract-Objects-1,qbvtsh,722b81c2e2cb72f32229aa0b95201083,
הצלחה,,Abstract Objects 1,Abstract-Objects-1,htslkhh,e503439100a9365921e4332338b70938,
נסגרו,,Past Nif'al,Verbs:-Past-Nifal,nsgrv,5eb3a998637033ae8e08131e6e1f5c4d,
נפגע,,Past Nif'al,Verbs:-Past-Nifal,npg`,5c345b20a1a118694b7a0b4562113c80,
נעלמתם,,Past Nif'al,Verbs:-Past-Nifal,n`lmtm,f436c626ec16c7a325f41cae0513b50d,
נעשתה,,Past Nif'al,Verbs:-Past-Nifal,n`shth,730208a6f1adb1a2a054e60c2ff60762,
נזכרתי,,Past Nif'al,Verbs:-Past-Nifal,nzkrty,2763c28bc2d4532ecd378f26102c8003,
נסגרה,,Past Nif'al,Verbs:-Past-Nifal,nsgrh,87a64c7eb60641cc8e8fcc6f3eb3f731,
נעלמו,,Past Nif'al,Verbs:-Past-Nifal,n`lmv,3cefd6c5585a93702d9fa9e19d860ea8,
נשארתם,,Past Nif'al,Verbs:-Past-Nifal,nshrtm,8c2c8f0a67121c8dddf0cb032bff2f8b,
מאהבה,,Past Nif'al,Verbs:-Past-Nifal,mhbh,26e29b6cb10946715d55413988ea9e15,
נשרפתי,,Past Nif'al,Verbs:-Past-Nifal,nshrpty,06050c729fda5c7bac4be462377f1760,
